jruby,jruby-9.0.5.0,fps: 11.730172116355355,fps: 12.362471249859565,fps: 11.415044767222927,fps: 12.068272192079656,fps: 11.600065606185305
jruby,jruby-1.7.11,fps: 19.148935004562926,fps: 19.955644649699305,fps: 19.189761322211204,fps: 19.693653527212323,fps: 20.54794690559331
jruby,jruby-1.7.18,fps: 16.54412037335304,fps: 16.885553712620172,fps: 16.10018531827187,fps: 16.483516368352337,fps: 16.51375915614709
jruby,jruby-9.1.6.0,fps: 17.41495554193581,fps: 17.383639659538705,fps: 17.503653041564075,fps: 17.869122504769187,fps: 17.917503971336878
jruby,jruby-1.7.20.1,fps: 16.30434647399683,fps: 16.393441882542593,fps: 16.187050526300442,fps: 15.957443138872872,fps: 17.20841293915403
jruby,jruby-9.2.5.0,fps: 14.128200701354881,fps: 14.308328716214016,fps: 14.639484084791587,fps: 14.60274229968255,fps: 15.04374747253729
jruby,jruby-1.7.26,fps: 16.187050526300442,fps: 15.463917069663694,fps: 16.187050526300442,fps: 15.706807537522844,fps: 16.014233842793928
jruby,jruby-1.7.17,fps: 15.929201926590714,fps: 15.463923404520287,fps: 15.280136169799368,fps: 16.45338414947757,fps: 16.1579914965455
jruby,jruby-9.2.1.0-dev,fps: 14.314488271383887,fps: 14.286956640157229,fps: 14.045141632408392,fps: 14.050788641058375,fps: 14.313547641495862
jruby,jruby-9.2.0.0-dev,fps: 18.457805935832347,fps: 17.917101865129116,fps: 17.36249635497654,fps: 19.34383464959401,fps: 17.466190969883762
jruby,jruby-1.7.21,fps: 16.014233842793928,fps: 17.441859369087187,fps: 16.21621426567731,fps: 16.245490273036662,fps: 16.30434647399683
jruby,jruby-1.7.8,fps: 18.789140458878528,fps: 19.189771077428617,fps: 18.86792460374782,fps: 20.3160344356205,fps: 19.189771077428617
jruby,jruby-9.1.4.0,fps: 18.073184727075624,fps: 18.056914921105353,fps: 17.621801463625232,fps: 17.325570859115082,fps: 17.016085039626642
jruby,jruby-9.2.4.0,fps: 14.640711120422925,fps: 14.80165469476642,fps: 14.197862956362096,fps: 14.515379755830189,fps: 14.071234846151182
jruby,jruby-9.1.5.0,fps: 16.967859467633378,fps: 17.8839002168353,fps: 17.892568045844474,fps: 18.597023094041393,fps: 17.635040642102602
jruby,jruby-1.7.24,fps: 15.100666211698027,fps: 15.734264999737407,fps: 15.254239507257424,fps: 15.306120909834402,fps: 15.544041553187933
jruby,jruby-1.7.16.2,fps: 16.071430213597523,fps: 17.241376853395888,fps: 16.574586159340015,fps: 16.12902972199031,fps: 15.679445738993907
jruby,jruby-9.1.0.0,fps: 17.825894807405366,fps: 19.247888952222805,fps: 16.267298699091924,fps: 18.946201653969975,fps: 18.39042556753628
jruby,jruby-1.7.6,fps: 19.396552282267052,fps: 19.867546657403604,fps: 20.224711299321818,fps: 19.650657395063277,fps: 18.367346581296598
jruby,jruby-1.7.13,fps: 19.823788712823244,fps: 19.911508709928395,fps: 19.02748214885181,fps: 19.823788712823244,fps: 19.999997880723967
jruby,jruby-1.7.23,fps: 16.014233842793928,fps: 14.900665874832585,fps: 15.817223039530973,fps: 16.12902972199031,fps: 14.802630603767563
jruby,jruby-9.0.1.0,fps: 11.847164235199465,fps: 11.346561235477875,fps: 11.625029675290799,fps: 11.902227499239215,fps: 11.819091919622416
jruby,jruby-9.2.4.1,fps: 14.473773870409287,fps: 14.57460012261014,fps: 14.11221860282871,fps: 14.951152736097391,fps: 14.006919380996795
jruby,jruby-9.1.0.0-dev,fps: 19.052452407614517,fps: 19.240433145900223,fps: 18.21777863833774,fps: 18.2663315123016,fps: 17.416122037563007
jruby,jruby-9.1.9.0,fps: 17.29083440484204,fps: 17.07734652575194,fps: 18.76288873632831,fps: 17.400518680662973,fps: 17.901564843248536
jruby,jruby-1.7.10,fps: 19.78022309694782,fps: 19.780212732176384,fps: 19.911508709928395,fps: 19.396552282267052,fps: 19.650657395063277
jruby,jruby-1.7.7,fps: 17.234183440779137,fps: 17.925413576628728,fps: 18.045588638306683,fps: 17.740518834742833,fps: 17.945889226348147
