jruby,jruby-1.7.5,144,fps: 11.372603285926601,fps: 11.612797422556172,fps: 11.926427236349014,fps: 11.80259552956926,fps: 12.05356845304331
jruby,jruby-1.7.6,161,fps: 19.189771077428617,fps: 20.408163971437347,fps: 20.089287766996904,fps: 19.955655199137677,fps: 18.40491386211893
jruby,jruby-1.7.7,184,fps: 17.71375190414545,fps: 17.311412793180683,fps: 17.245086998914235,fps: 17.49800495376887,fps: 17.96477294938096
jruby,jruby-1.7.8,184,fps: 18.86792460374782,fps: 18.82845481293865,fps: 18.32994124996419,fps: 19.108272361983033,fps: 19.823788712823244
jruby,jruby-1.7.9,206,fps: 18.400362067807126,fps: 17.84875699250119,fps: 18.348530595902922,fps: 18.1383401423224,fps: 18.140136140198425
jruby,jruby-1.7.10,240,fps: 19.867546657403604,fps: 19.43844244200327,fps: 19.565225909476574,fps: 19.271948293290585,fps: 20.044548709087838
jruby,jruby-1.7.11,286,fps: 19.14894471831593,fps: 20.044548709087838,fps: 19.02748214885181,fps: 18.987342688999547,fps: 19.867546657403604
jruby,jruby-1.7.12,335,fps: 16.04278445765498,fps: 15.177061325019912,fps: 15.306127116066905,fps: 15.789475533440719,fps: 16.15798458027213
jruby,jruby-1.7.13,406,fps: 19.693653527212323,fps: 20.408163971437347,fps: 19.78022309694782,fps: 19.867546657403604,fps: 19.780212732176384
jruby,jruby-1.7.14,470,fps: 11.987024059753024,fps: 11.618001686167641,fps: 11.861023375981054,fps: 11.963827209524396,fps: 11.806477277315384
jruby,jruby-1.7.15,477,fps: 14.717351520745993,fps: 14.616478392084655,fps: 13.454922758381208,fps: 13.973631224880414,fps: 14.197934854155852
jruby,jruby-1.7.16.1,532,fps: 17.73090643271863,fps: 17.65432260727993,fps: 18.626501210272334,fps: 17.726403804571696,fps: 16.823935316261565
jruby,jruby-1.7.16.2,573,fps: 16.12902972199031,fps: 16.071430213597523,fps: 16.30434647399683,fps: 16.042777639656524,fps: 16.12902972199031
jruby,jruby-1.7.17,574,fps: 15.57093240627841,fps: 15.901053801279454,fps: 15.957449884531831,fps: 16.36363778232555,fps: 15.845074891998031
jruby,jruby-1.7.18,587,fps: 16.483516368352337,fps: 16.014233842793928,fps: 16.12902972199031,fps: 16.187050526300442,fps: 16.423361894262204
jruby,jruby-9.0.0.0.pre1,616,fps: 11.657599577441294,fps: 11.651360772620368,fps: 11.161334040660364,fps: 11.144435367302474,fps: 11.49090356025095
jruby,jruby-1.7.19,626,fps: 19.911508709928395,fps: 19.396552282267052,fps: 19.027491739775847,fps: 19.823788712823244,fps: 20.408163971437347
jruby,jruby-9.0.0.0.pre2,714,fps: 13.808628365647175,fps: 14.370267982913234,fps: 13.471456697018297,fps: 12.924200214953137,fps: 15.105457190717496
jruby,jruby-1.7.20.1,757,fps: 15.90106049934793,fps: 16.483516368352337,fps: 17.045450789377554,fps: 17.341038678012755,fps: 16.759770940647556
jruby,jruby-9.0.0.0.rc1,757,fps: 18.27305554405914,fps: 17.513607198442322,fps: 17.676227479609924,fps: 18.074756575678425,fps: 16.85895630573737
jruby,jruby-1.7.21,784,fps: 15.679445738993907,fps: 16.63585558976854,fps: 16.15798458027213,fps: 15.87301165475485,fps: 16.51375915614709
